Artefact number,Raw Material,Collection,Typology,Note,Modelled
E1094,Osseous,NHM 21.B.4 42,Gouge,In Barham et al 2002 Before Farming,TRUE
E4795,Osseous,NHM 21.B.4 42,Ecofact,"Unclear. Note in box: ""?worked bone fragments. Bone Cave, Broken Hill, Rhodesia. ?Deposited 1921. E 4795-7""",FALSE
E4796,Osseous,NHM 21.B.4 42,Ecofact,"Unclear. Note in box: ""?worked bone fragments. Bone Cave, Broken Hill, Rhodesia. ?Deposited 1921. E 4795-7""",FALSE
E4797,Osseous,NHM 21.B.4 42,Ecofact,"Unclear. Note in box: ""?worked bone fragments. Bone Cave, Broken Hill, Rhodesia. ?Deposited 1921. E 4795-7""",FALSE
E700,Osseous,NHM 21.B.4 42,Point,In Barham et al 2002 Before Farming,TRUE
E701a,Osseous,NHM 21.B.4 42,Notch,"Note in box: ""?Worked bones. Cave deposits. Broken Hill, N. Rhodesia. Presented by Franklin White 1921. E701a-c""",FALSE
E701c,Osseous,NHM 21.B.4 42,Point,"Note in box: ""?Worked bones. Cave deposits. Broken Hill, N. Rhodesia. Presented by Franklin White 1921. E701a-c""",FALSE
E701g,Osseous,NHM 21.B.4 42,Modified,"Note in box: ""?Worked bones. Cave deposits. Broken Hill, N. Rhodesia. Presented by Franklin White 1921. E701a-c""",FALSE
E702,Osseous,NHM 21.B.4 42,Gouge,In Barham et al 2002 Before Farming,TRUE
